"","respID","qID","altID","obsID","price","time","agent","location"
"1",1,1,1,1,"$10","Tomorrow","Human","Neighborhood locker"
"2",1,1,2,1,"$20","Tomorrow","Autonomous vehicle","Curbside"
"3",1,2,1,2,"$10","In 7 days","Human","Neighborhood locker"
"4",1,2,2,2,"$25","In 7 days","Human","Neighborhood locker"
"5",1,3,1,3,"$5","Tomorrow","Human","Doorstep"
"6",1,3,2,3,"$30","In 7 days","Human","Doorstep"
"7",1,4,1,4,"$30","In 4 days","Human","Doorstep"
"8",1,4,2,4,"$15","In 7 days","Human","Curbside"
"9",1,5,1,5,"$30","Today","Human","Neighborhood locker"
"10",1,5,2,5,"$30","Today","Human","Curbside"
"11",1,6,1,6,"$5","In 7 days","Autonomous vehicle","Doorstep"
"12",1,6,2,6,"$25","In 4 days","Autonomous vehicle","Curbside"
"13",1,7,1,7,"$30","In 7 days","Human","Curbside"
"14",1,7,2,7,"$5","In 4 days","Human","Doorstep"
"15",1,8,1,8,"$10","In 4 days","Human","Curbside"
"16",1,8,2,8,"$20","In 7 days","Autonomous vehicle","Doorstep"
"17",1,9,1,9,"$5","Today","Human","Neighborhood locker"
"18",1,9,2,9,"$15","In 7 days","Human","Doorstep"
"19",1,10,1,10,"$5","In 4 days","Autonomous vehicle","Curbside"
"20",1,10,2,10,"$30","Today","Human","Curbside"
"21",2,1,1,11,"$0","Today","Autonomous vehicle","Doorstep"
"22",2,1,2,11,"$10","In 7 days","Autonomous vehicle","Neighborhood locker"
"23",2,2,1,12,"$30","In 4 days","Autonomous vehicle","Curbside"
"24",2,2,2,12,"$20","Today","Autonomous vehicle","Curbside"
"25",2,3,1,13,"$30","Tomorrow","Human","Curbside"
"26",2,3,2,13,"$5","In 4 days","Autonomous vehicle","Neighborhood locker"
"27",2,4,1,14,"$25","Tomorrow","Human","Neighborhood locker"
"28",2,4,2,14,"$0","Tomorrow","Human","Doorstep"
"29",2,5,1,15,"$20","In 4 days","Autonomous vehicle","Neighborhood locker"
"30",2,5,2,15,"$20","In 7 days","Human","Doorstep"
"31",2,6,1,16,"$30","Today","Human","Curbside"
"32",2,6,2,16,"$0","In 7 days","Autonomous vehicle","Curbside"
"33",2,7,1,17,"$5","In 7 days","Autonomous vehicle","Doorstep"
"34",2,7,2,17,"$10","Tomorrow","Autonomous vehicle","Neighborhood locker"
"35",2,8,1,18,"$5","In 7 days","Autonomous vehicle","Neighborhood locker"
"36",2,8,2,18,"$10","Today","Human","Neighborhood locker"
"37",2,9,1,19,"$25","In 4 days","Human","Curbside"
"38",2,9,2,19,"$25","Today","Human","Curbside"
"39",2,10,1,20,"$5","Today","Human","Doorstep"
"40",2,10,2,20,"$5","Tomorrow","Human","Doorstep"
"41",3,1,1,21,"$10","In 7 days","Autonomous vehicle","Neighborhood locker"
"42",3,1,2,21,"$20","Tomorrow","Autonomous vehicle","Doorstep"
"43",3,2,1,22,"$30","In 4 days","Human","Doorstep"
"44",3,2,2,22,"$10","Tomorrow","Autonomous vehicle","Neighborhood locker"
"45",3,3,1,23,"$20","Tomorrow","Human","Curbside"
"46",3,3,2,23,"$0","In 7 days","Autonomous vehicle","Neighborhood locker"
"47",3,4,1,24,"$5","Today","Autonomous vehicle","Curbside"
"48",3,4,2,24,"$30","Today","Human","Curbside"
"49",3,5,1,25,"$0","Today","Human","Neighborhood locker"
"50",3,5,2,25,"$10","Today","Autonomous vehicle","Curbside"
"51",3,6,1,26,"$0","In 7 days","Autonomous vehicle","Neighborhood locker"
"52",3,6,2,26,"$30","In 4 days","Human","Neighborhood locker"
"53",3,7,1,27,"$20","Today","Autonomous vehicle","Doorstep"
"54",3,7,2,27,"$30","In 7 days","Autonomous vehicle","Doorstep"
"55",3,8,1,28,"$5","In 7 days","Human","Doorstep"
"56",3,8,2,28,"$10","In 7 days","Human","Neighborhood locker"
"57",3,9,1,29,"$20","In 7 days","Human","Curbside"
"58",3,9,2,29,"$10","Tomorrow","Autonomous vehicle","Doorstep"
"59",3,10,1,30,"$30","In 4 days","Human","Curbside"
"60",3,10,2,30,"$25","In 4 days","Human","Curbside"
"61",4,1,1,31,"$25","Tomorrow","Autonomous vehicle","Neighborhood locker"
"62",4,1,2,31,"$25","Today","Human","Doorstep"
"63",4,2,1,32,"$0","In 7 days","Autonomous vehicle","Doorstep"
"64",4,2,2,32,"$25","Tomorrow","Autonomous vehicle","Curbside"
"65",4,3,1,33,"$0","In 7 days","Autonomous vehicle","Curbside"
"66",4,3,2,33,"$25","In 4 days","Autonomous vehicle","Curbside"
"67",4,4,1,34,"$30","Tomorrow","Human","Neighborhood locker"
"68",4,4,2,34,"$0","In 4 days","Autonomous vehicle","Curbside"
"69",4,5,1,35,"$30","In 4 days","Autonomous vehicle","Curbside"
"70",4,5,2,35,"$25","Today","Autonomous vehicle","Neighborhood locker"
"71",4,6,1,36,"$0","Today","Autonomous vehicle","Curbside"
"72",4,6,2,36,"$20","In 4 days","Autonomous vehicle","Curbside"
"73",4,7,1,37,"$0","Today","Human","Curbside"
"74",4,7,2,37,"$5","Today","Autonomous vehicle","Doorstep"
"75",4,8,1,38,"$5","Tomorrow","Human","Curbside"
"76",4,8,2,38,"$30","In 7 days","Autonomous vehicle","Curbside"
"77",4,9,1,39,"$0","In 7 days","Autonomous vehicle","Curbside"
"78",4,9,2,39,"$25","Tomorrow","Autonomous vehicle","Doorstep"
"79",4,10,1,40,"$5","Tomorrow","Autonomous vehicle","Neighborhood locker"
"80",4,10,2,40,"$30","In 4 days","Human","Neighborhood locker"
"81",5,1,1,41,"$20","Tomorrow","Human","Doorstep"
